Year,State,District,target_yield,Area,Production,yield_calculated,ndvi,rainfall,temperature
1998,TAMIL NADU,KANYAKUMARI,4775,90453.54513,207673.2601,4775,0.21482217,11.11623369,25.47025807
1999,TAMIL NADU,KANYAKUMARI,4748.41,90453.54513,207673.2601,4748.41,0.208131502,10.33408083,25.20342563
2000,TAMIL NADU,KANYAKUMARI,4721.93,90453.54513,207673.2601,4721.93,0.244121421,4.667138287,25.35077856
2001,TAMIL NADU,KANYAKUMARI,4300.04,90453.54513,207673.2601,4300.04,0.226953976,7.767404022,23.7143613
2002,TAMIL NADU,KANYAKUMARI,3780.04,90453.54513,207673.2601,3780.04,0.200907392,14.31943979,25.52016673
2003,TAMIL NADU,KANYAKUMARI,3054.27,90453.54513,207673.2601,3054.27,0.215681498,11.31555407,24.86390541
2004,TAMIL NADU,KANYAKUMARI,3927.79,90453.54513,207673.2601,3927.79,0.207272756,2.040328894,24.93496234
2005,TAMIL NADU,KANYAKUMARI,3801.01,90453.54513,207673.2601,3801.01,0.20320802,-6.768882718,25.17851328
2006,TAMIL NADU,KANYAKUMARI,4396.54,90453.54513,207673.2601,4396.54,0.199952097,7.44500514,24.74115826
2007,TAMIL NADU,KANYAKUMARI,4432.92,90453.54513,207673.2601,4432.92,0.217674984,9.953983239,24.19530933
2008,TAMIL NADU,KANYAKUMARI,4599.23,90453.54513,207673.2601,4599.23,0.206539015,0.515020146,25.45420342
2009,TAMIL NADU,KANYAKUMARI,4404.39,90453.54513,207673.2601,4404.39,0.223031078,5.917194994,24.34638858
2010,TAMIL NADU,KANYAKUMARI,4731.61,90453.54513,207673.2601,4731.61,0.223290639,4.642647276,24.23764092
2011,TAMIL NADU,KANYAKUMARI,5421.78,90453.54513,207673.2601,5421.78,0.227091961,6.482574216,24.61334915
2012,TAMIL NADU,KANYAKUMARI,4663.98,90453.54513,207673.2601,4663.98,0.20482895,3.237661169,24.53749764
2013,TAMIL NADU,KANYAKUMARI,4897.21,90453.54513,207673.2601,4897.21,0.218106473,12.41369759,24.73240302
2014,TAMIL NADU,KANYAKUMARI,5078.91,90453.54513,207673.2601,5078.91,0.219677359,6.700987008,24.68139547
2015,TAMIL NADU,KANYAKUMARI,4304.78,90453.54513,207673.2601,4304.78,0.208611036,1.566058174,25.40406449
2016,TAMIL NADU,KANYAKUMARI,4003.78,90453.54513,207673.2601,4003.78,0.205635098,10.54845337,24.96016091
2017,TAMIL NADU,KANYAKUMARI,3431.03,90453.54513,207673.2601,3431.03,0.229448024,-0.359795375,24.30160112
1966,MAHARASHTRA,BOMBAY,1500,90453.54513,207673.2601,1500,0.215627776,12.38361449,24.37024748
1967,MAHARASHTRA,BOMBAY,1500,90453.54513,207673.2601,1500,0.219712495,10.91643973,24.53640528
1968,MAHARASHTRA,BOMBAY,1538.46,90453.54513,207673.2601,1538.46,0.205132057,12.91001908,24.53839911
1969,MAHARASHTRA,BOMBAY,1428.57,90453.54513,207673.2601,1428.57,0.201159973,5.169910743,24.47312754
1970,MAHARASHTRA,BOMBAY,1750,90453.54513,207673.2601,1750,0.20765832,3.480572706,24.1796286
1971,MAHARASHTRA,BOMBAY,1533.33,90453.54513,207673.2601,1533.33,0.212112603,6.38125141,24.87570068
1972,MAHARASHTRA,BOMBAY,727.27,90453.54513,207673.2601,727.27,0.202710617,5.538958673,24.50269736
1973,MAHARASHTRA,BOMBAY,1909.09,90453.54513,207673.2601,1909.09,0.213254369,2.697461177,24.25459888
1974,MAHARASHTRA,BOMBAY,1636.36,90453.54513,207673.2601,1636.36,0.196467765,3.193026034,24.97323721
1975,MAHARASHTRA,BOMBAY,1454.55,90453.54513,207673.2601,1454.55,0.202152343,4.129278369,25.15441061
1976,MAHARASHTRA,BOMBAY,1416.67,90453.54513,207673.2601,1416.67,0.22006193,0.111124173,24.60768106
1977,MAHARASHTRA,BOMBAY,1833.33,90453.54513,207673.2601,1833.33,0.219390723,9.350959053,25.62124279
1978,MAHARASHTRA,BOMBAY,1818.18,90453.54513,207673.2601,1818.18,0.20943405,5.699656917,25.83825996
1979,MAHARASHTRA,BOMBAY,1300,90453.54513,207673.2601,1300,0.203175174,4.419250259,24.97894468
1980,MAHARASHTRA,BOMBAY,1600,90453.54513,207673.2601,1600,0.203078782,0.4093718,24.49609425
1981,MAHARASHTRA,BOMBAY,888.89,90453.54513,207673.2601,888.89,0.209620135,0.159277717,24.86497639
1982,MAHARASHTRA,BOMBAY,1666.67,90453.54513,207673.2601,1666.67,0.219798002,15.64071286,24.11827808
1983,MAHARASHTRA,BOMBAY,1666.67,90453.54513,207673.2601,1666.67,0.222635274,2.824855291,24.2945678
1984,MAHARASHTRA,BOMBAY,1400,90453.54513,207673.2601,1400,0.2083875,9.013784576,23.88915504
1985,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.201817893,6.774314954,24.41626712
1986,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.216031254,-7.914799701,24.11423948
1987,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.205117468,14.92339672,25.04252797
1988,MAHARASHTRA,BOMBAY,1666.67,90453.54513,207673.2601,1666.67,0.208170291,9.381562499,24.35592035
1989,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.226605578,2.122791833,24.86881025
1990,MAHARASHTRA,BOMBAY,2000,90453.54513,207673.2601,2000,0.221623972,5.819310083,25.10445283
1991,MAHARASHTRA,BOMBAY,1666.67,90453.54513,207673.2601,1666.67,0.21493256,0.215225768,25.31617081
1992,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.200633627,15.092245,24.55378734
1993,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.215466783,1.422854064,24.88581836
1994,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.22397939,3.345722621,24.90175036
1995,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.209596481,2.313337214,25.3665453
1996,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.226863958,6.363039606,25.12227865
1997,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.22628027,12.81272511,25.3821721
1998,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.229990146,14.90801485,23.89817388
1999,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.216405249,3.966161884,24.3983641
2000,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.219226734,7.852437517,25.24640802
2001,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.22749469,6.370669668,25.02085053
2002,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.217826757,1.053096283,24.66797684
2003,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.208340476,18.07392048,24.49347467
2004,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.208867389,12.77494042,25.12484188
2005,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.215738367,6.906721853,23.74071107
2006,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.200447203,13.87052307,25.1265952
2007,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.211920228,12.02167617,24.77584374
2008,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.224318289,6.37044931,24.48607985
2009,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.191440279,7.590960632,24.98172006
2010,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.228697638,13.52177332,24.53747507
2011,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.22457656,1.230374699,24.74500898
2012,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.208755171,14.32959609,24.70737671
2016,MAHARASHTRA,BOMBAY,0,90453.54513,207673.2601,0,0.218786726,4.835579801,25.10276457
1966,MAHARASHTRA,THANE,1146.67,90453.54513,207673.2601,1146.67,0.213384295,13.58452632,24.81009052
1967,MAHARASHTRA,THANE,1726.03,90453.54513,207673.2601,1726.03,0.225652721,5.935009618,23.77593978
1968,MAHARASHTRA,THANE,1305.87,90453.54513,207673.2601,1305.87,0.223179649,7.649173717,24.03445271
1969,MAHARASHTRA,THANE,1434.47,90453.54513,207673.2601,1434.47,0.19935211,5.789600822,24.18841651
1970,MAHARASHTRA,THANE,1782.33,90453.54513,207673.2601,1782.33,0.219225441,3.301924491,24.95877194
1971,MAHARASHTRA,THANE,1561.66,90453.54513,207673.2601,1561.66,0.211296539,4.610868114,25.00892582
1972,MAHARASHTRA,THANE,742.03,90453.54513,207673.2601,742.03,0.214181143,12.85669962,25.5656782
1973,MAHARASHTRA,THANE,1872.71,90453.54513,207673.2601,1872.71,0.206071098,-5.609677308,24.2232844
1974,MAHARASHTRA,THANE,1682.69,90453.54513,207673.2601,1682.69,0.230834188,-0.233687119,25.38512609
1975,MAHARASHTRA,THANE,2022.65,90453.54513,207673.2601,2022.65,0.223753436,2.333784058,23.76156028
1976,MAHARASHTRA,THANE,1568.46,90453.54513,207673.2601,1568.46,0.205955106,0.569418643,24.73937859
1977,MAHARASHTRA,THANE,2186.45,90453.54513,207673.2601,2186.45,0.200006711,13.51104066,24.85310131
1978,MAHARASHTRA,THANE,1783.46,90453.54513,207673.2601,1783.46,0.209496091,12.24952749,24.85129474
1979,MAHARASHTRA,THANE,1493.3,90453.54513,207673.2601,1493.3,0.217697844,8.921301652,24.57570185
1980,MAHARASHTRA,THANE,1950.63,90453.54513,207673.2601,1950.63,0.215754876,2.772122268,24.7894474
1981,MAHARASHTRA,THANE,2060.34,90453.54513,207673.2601,2060.34,0.225884146,12.63640194,24.11288982
1982,MAHARASHTRA,THANE,1781.97,90453.54513,207673.2601,1781.97,0.221252015,-1.979507025,25.16308035
1983,MAHARASHTRA,THANE,2025.91,90453.54513,207673.2601,2025.91,0.223048508,16.67105581,24.85539482
1984,MAHARASHTRA,THANE,1787.98,90453.54513,207673.2601,1787.98,0.216621371,2.537993619,24.91161631
1985,MAHARASHTRA,THANE,1683.34,90453.54513,207673.2601,1683.34,0.19945983,4.650966496,24.59099138
1986,MAHARASHTRA,THANE,1125.83,90453.54513,207673.2601,1125.83,0.211395832,3.814423352,24.5665098
1987,MAHARASHTRA,THANE,1861.84,90453.54513,207673.2601,1861.84,0.223953715,0.595605534,24.99286505
1988,MAHARASHTRA,THANE,1996.01,90453.54513,207673.2601,1996.01,0.212837588,15.58670822,25.52548653
1989,MAHARASHTRA,THANE,1871.29,90453.54513,207673.2601,1871.29,0.218383721,9.905615759,24.03368406
1990,MAHARASHTRA,THANE,1926.42,90453.54513,207673.2601,1926.42,0.210165334,12.03849532,24.00846452
1991,MAHARASHTRA,THANE,1783.53,90453.54513,207673.2601,1783.53,0.203054699,-0.157203755,24.86360226
1992,MAHARASHTRA,THANE,1934.83,90453.54513,207673.2601,1934.83,0.212119377,6.86583174,24.56439956
1993,MAHARASHTRA,THANE,2047.23,90453.54513,207673.2601,2047.23,0.216443292,8.566286052,24.79255249
1994,MAHARASHTRA,THANE,1897.52,90453.54513,207673.2601,1897.52,0.20679594,7.314925223,24.71860495
1995,MAHARASHTRA,THANE,2170.39,90453.54513,207673.2601,2170.39,0.210995705,0.15927535,25.04150429
1996,MAHARASHTRA,THANE,2599.21,90453.54513,207673.2601,2599.21,0.203958185,11.33864271,24.58741789
1997,MAHARASHTRA,THANE,2355.07,146729,343386,2.340273566,0.224545267,6.568893019,24.12639371
1998,MAHARASHTRA,THANE,1919.77,142100,272800,1.919774806,0.21040826,1.186322427,24.33557263
1999,MAHARASHTRA,THANE,2129.76,141800,302000,2.129760226,0.227880373,-3.315110093,24.65027378
2000,MAHARASHTRA,THANE,1237.12,141700,175300,1.237120677,0.228640296,8.994475172,24.10301437
2001,MAHARASHTRA,THANE,2447.52,141000,345100,2.44751773,0.212542358,18.21342128,24.71207265
2002,MAHARASHTRA,THANE,1138.18,140400,159800,1.138176638,0.20326833,0.884871238,24.76087694
2003,MAHARASHTRA,THANE,2821.15,140900,397500,2.821149752,0.192493839,6.813377857,24.55159781
2004,MAHARASHTRA,THANE,2378.72,141000,335400,2.378723404,0.198632447,11.513629,24.83511067
2005,MAHARASHTRA,THANE,2226.52,139500,310600,2.226523297,0.199614469,-0.387118726,23.92336032
2006,MAHARASHTRA,THANE,1835.95,140200,257400,1.835948645,0.227137514,3.561358759,24.25390744
2007,MAHARASHTRA,THANE,2199.5,1381,3033,2.196234613,0.214511063,1.660348709,24.15915016
2008,MAHARASHTRA,THANE,2157.89,138000,297300,2.154347826,0.217248863,10.88452608,25.17042798
2009,MAHARASHTRA,THANE,2097.84,136000,285000,2.095588235,0.191148607,12.58875545,25.88358161
2010,MAHARASHTRA,THANE,2028.78,136000,275300,2.024264706,0.201373153,6.756323929,24.29008982
2011,MAHARASHTRA,THANE,2450,140400,344000,2.45014245,0.222223615,1.75247226,24.61287849
2012,MAHARASHTRA,THANE,2599.86,139600,362900,2.599570201,0.216220558,3.747187915,24.38378499
2013,MAHARASHTRA,THANE,2392.55,139600,334000,2.392550143,0.211880765,2.808650034,24.84111223
2014,MAHARASHTRA,THANE,2475.15,58000,140400,2.420689655,0.219001241,1.074798297,24.42629528
2015,MAHARASHTRA,THANE,2289.02,90453.54513,207673.2601,2289.02,0.229710795,5.450951601,24.87188955
2016,MAHARASHTRA,THANE,2828.18,90453.54513,207673.2601,2828.18,0.211142393,8.835275027,25.06301292
2017,MAHARASHTRA,THANE,1856.37,90453.54513,207673.2601,1856.37,0.214046515,8.412429827,24.11858714
1966,MAHARASHTRA,RAIGAD,1185.19,90453.54513,207673.2601,1185.19,0.215278787,5.919980782,24.86625677
1967,MAHARASHTRA,RAIGAD,1779.41,90453.54513,207673.2601,1779.41,0.237273914,6.246411789,23.8334716
1968,MAHARASHTRA,RAIGAD,1367.96,90453.54513,207673.2601,1367.96,0.192359255,5.553388629,24.60223263
1969,MAHARASHTRA,RAIGAD,1324.01,90453.54513,207673.2601,1324.01,0.220185047,-0.524915091,24.5686594
1970,MAHARASHTRA,RAIGAD,1812.68,90453.54513,207673.2601,1812.68,0.212204795,6.76181709,24.61593108
1971,MAHARASHTRA,RAIGAD,1426.48,90453.54513,207673.2601,1426.48,0.219020535,3.043014678,24.57446938
1972,MAHARASHTRA,RAIGAD,1192.39,90453.54513,207673.2601,1192.39,0.206779092,-0.775573491,24.48303605
1973,MAHARASHTRA,RAIGAD,1471.82,90453.54513,207673.2601,1471.82,0.212863167,7.81467044,24.59760852
1974,MAHARASHTRA,RAIGAD,1528.91,90453.54513,207673.2601,1528.91,0.220466923,2.902492423,24.84956845
1975,MAHARASHTRA,RAIGAD,1672.34,90453.54513,207673.2601,1672.34,0.244481919,7.099912211,24.86362821
1976,MAHARASHTRA,RAIGAD,1518.7,90453.54513,207673.2601,1518.7,0.221433179,10.19933168,24.78809928
1977,MAHARASHTRA,RAIGAD,2050.78,90453.54513,207673.2601,2050.78,0.204872161,1.209948999,24.4437009
1978,MAHARASHTRA,RAIGAD,1888.03,90453.54513,207673.2601,1888.03,0.209115221,6.421749015,25.27066793
1979,MAHARASHTRA,RAIGAD,1617.79,90453.54513,207673.2601,1617.79,0.208818676,-3.090971804,25.49317715
1980,MAHARASHTRA,RAIGAD,1837.13,90453.54513,207673.2601,1837.13,0.195396386,13.62380806,24.08629245
1981,MAHARASHTRA,RAIGAD,1906.29,90453.54513,207673.2601,1906.29,0.210051915,-0.83418988,24.81263419
1982,MAHARASHTRA,RAIGAD,1866.18,90453.54513,207673.2601,1866.18,0.220681108,3.387044293,24.49642864
1983,MAHARASHTRA,RAIGAD,1794.47,90453.54513,207673.2601,1794.47,0.200610496,12.65304212,25.19329863
1984,MAHARASHTRA,RAIGAD,2139.64,90453.54513,207673.2601,2139.64,0.223837644,4.788527975,24.72420251
1985,MAHARASHTRA,RAIGAD,1729.55,90453.54513,207673.2601,1729.55,0.218230566,-0.025845827,24.75708858
1986,MAHARASHTRA,RAIGAD,1715.23,90453.54513,207673.2601,1715.23,0.206010484,9.526508766,24.97798352
1987,MAHARASHTRA,RAIGAD,2053.33,90453.54513,207673.2601,2053.33,0.211937521,9.413804916,24.58173013
1988,MAHARASHTRA,RAIGAD,2284.2,90453.54513,207673.2601,2284.2,0.229336035,2.795210908,25.56924015
1989,MAHARASHTRA,RAIGAD,1984.08,90453.54513,207673.2601,1984.08,0.220688295,3.336510001,24.98536947
1990,MAHARASHTRA,RAIGAD,1649.61,90453.54513,207673.2601,1649.61,0.213440654,3.784097752,25.19630336
1991,MAHARASHTRA,RAIGAD,2231.38,90453.54513,207673.2601,2231.38,0.210975984,4.926022801,24.62022181
1992,MAHARASHTRA,RAIGAD,2118.71,90453.54513,207673.2601,2118.71,0.214118908,-3.50371278,24.66907178
1993,MAHARASHTRA,RAIGAD,2371.12,90453.54513,207673.2601,2371.12,0.208235182,5.054023299,25.13631204
1994,MAHARASHTRA,RAIGAD,2197.81,90453.54513,207673.2601,2197.81,0.192305322,14.8807136,25.08609074
1995,MAHARASHTRA,RAIGAD,2254.1,90453.54513,207673.2601,2254.1,0.233774596,1.481292769,24.10616534
1996,MAHARASHTRA,RAIGAD,2332.87,90453.54513,207673.2601,2332.87,0.214906067,3.043674638,24.79431591
1997,MAHARASHTRA,RAIGAD,2530.94,90453.54513,207673.2601,2530.94,0.21733429,0.043054289,24.96741858
1998,MAHARASHTRA,RAIGAD,2567.95,90453.54513,207673.2601,2567.95,0.21277374,9.021952237,24.6653493
1999,MAHARASHTRA,RAIGAD,2420.78,90453.54513,207673.2601,2420.78,0.206001649,11.9771294,24.91996339
2000,MAHARASHTRA,RAIGAD,2165.55,90453.54513,207673.2601,2165.55,0.211493573,11.8627318,24.68650248
2001,MAHARASHTRA,RAIGAD,2668.66,90453.54513,207673.2601,2668.66,0.19735887,-0.27891034,23.60712414
2002,MAHARASHTRA,RAIGAD,2085.59,90453.54513,207673.2601,2085.59,0.236123682,8.460101257,24.07505389
2003,MAHARASHTRA,RAIGAD,2827.2,90453.54513,207673.2601,2827.2,0.201007697,13.12989278,25.21799182
2004,MAHARASHTRA,RAIGAD,2234.59,90453.54513,207673.2601,2234.59,0.203033154,8.509458143,24.60830948
2005,MAHARASHTRA,RAIGAD,2277.99,90453.54513,207673.2601,2277.99,0.208950225,8.353191022,24.82534511
2006,MAHARASHTRA,RAIGAD,2378.97,90453.54513,207673.2601,2378.97,0.226233575,3.602929712,24.72867121
2007,MAHARASHTRA,RAIGAD,2514.05,90453.54513,207673.2601,2514.05,0.213497907,7.061691724,24.31785046
2008,MAHARASHTRA,RAIGAD,2719.58,90453.54513,207673.2601,2719.58,0.200991459,12.1427335,24.49696037
2009,MAHARASHTRA,RAIGAD,2526.3,90453.54513,207673.2601,2526.3,0.225896201,7.602187447,24.89497435
2010,MAHARASHTRA,RAIGAD,2369.89,90453.54513,207673.2601,2369.89,0.220662824,-0.280231175,24.94599768
2011,MAHARASHTRA,RAIGAD,2414.51,90453.54513,207673.2601,2414.51,0.218737167,3.680934233,25.82470434
2012,MAHARASHTRA,RAIGAD,2606.18,90453.54513,207673.2601,2606.18,0.22051016,12.0075403,24.49162852
2013,MAHARASHTRA,RAIGAD,2860.83,90453.54513,207673.2601,2860.83,0.237296436,7.584859207,25.56581919
2014,MAHARASHTRA,RAIGAD,2799.68,90453.54513,207673.2601,2799.68,0.235203766,6.556452996,24.30029217
2015,MAHARASHTRA,RAIGAD,2940.31,90453.54513,207673.2601,2940.31,0.206485664,3.191064939,24.9747997
2016,MAHARASHTRA,RAIGAD,2728.16,90453.54513,207673.2601,2728.16,0.229591667,11.90413851,24.81943592
2017,MAHARASHTRA,RAIGAD,2720.66,90453.54513,207673.2601,2720.66,0.217184499,14.27320559,24.66756683
1966,MAHARASHTRA,RATNAGIRI,818.18,90453.54513,207673.2601,818.18,0.218343775,12.27708822,24.72767038
1967,MAHARASHTRA,RATNAGIRI,1257.58,90453.54513,207673.2601,1257.58,0.196430109,13.17410071,24.41919211
1968,MAHARASHTRA,RATNAGIRI,1197.92,90453.54513,207673.2601,1197.92,0.21164896,4.167611401,25.18245189
1969,MAHARASHTRA,RATNAGIRI,1093.42,90453.54513,207673.2601,1093.42,0.205224581,3.460297118,24.30919209
1970,MAHARASHTRA,RATNAGIRI,1376.12,90453.54513,207673.2601,1376.12,0.221633405,5.179416737,24.88926257
1971,MAHARASHTRA,RATNAGIRI,1195.98,90453.54513,207673.2601,1195.98,0.224063622,6.154008815,25.10842877
1972,MAHARASHTRA,RATNAGIRI,996.49,90453.54513,207673.2601,996.49,0.192607954,13.11624151,25.42260115
1973,MAHARASHTRA,RATNAGIRI,1449.16,90453.54513,207673.2601,1449.16,0.213132469,11.7905763,25.21638434
1974,MAHARASHTRA,RATNAGIRI,1370.32,90453.54513,207673.2601,1370.32,0.224571432,8.653489541,25.01671433
1975,MAHARASHTRA,RATNAGIRI,1570.37,90453.54513,207673.2601,1570.37,0.211486028,-1.194791224,24.41163363
1976,MAHARASHTRA,RATNAGIRI,1390.29,90453.54513,207673.2601,1390.29,0.220643454,-2.478966618,24.33761203
1977,MAHARASHTRA,RATNAGIRI,1487.28,90453.54513,207673.2601,1487.28,0.216864472,7.163456329,24.16121017
1978,MAHARASHTRA,RATNAGIRI,1696.64,90453.54513,207673.2601,1696.64,0.21676942,10.36245863,24.11336682
1979,MAHARASHTRA,RATNAGIRI,1436.52,90453.54513,207673.2601,1436.52,0.210639668,5.56330736,24.72979759
1980,MAHARASHTRA,RATNAGIRI,1741.5,90453.54513,207673.2601,1741.5,0.201187009,15.53566513,24.36679126
1981,MAHARASHTRA,RATNAGIRI,1814.86,90453.54513,207673.2601,1814.86,0.202137516,0.548937386,25.33011243
1982,MAHARASHTRA,RATNAGIRI,1628.63,90453.54513,207673.2601,1628.63,0.220446342,-0.080617143,24.44101881
1983,MAHARASHTRA,RATNAGIRI,1768.79,90453.54513,207673.2601,1768.79,0.2135474,2.639737733,24.77762753
1984,MAHARASHTRA,RATNAGIRI,1941.03,90453.54513,207673.2601,1941.03,0.211967695,2.449656539,24.59817772
1985,MAHARASHTRA,RATNAGIRI,1798.65,90453.54513,207673.2601,1798.65,0.209113917,8.592571948,24.02857089
1986,MAHARASHTRA,RATNAGIRI,1452.23,90453.54513,207673.2601,1452.23,0.210300929,3.852583346,25.27522002
1987,MAHARASHTRA,RATNAGIRI,1924.53,90453.54513,207673.2601,1924.53,0.223821935,-1.778059701,25.07824065
1988,MAHARASHTRA,RATNAGIRI,1979.54,90453.54513,207673.2601,1979.54,0.210000377,10.41903489,25.13576065
1989,MAHARASHTRA,RATNAGIRI,2379.04,90453.54513,207673.2601,2379.04,0.19994217,-2.838617025,25.02797294
1990,MAHARASHTRA,RATNAGIRI,2106.08,90453.54513,207673.2601,2106.08,0.220789335,0.60505149,24.35075709
1991,MAHARASHTRA,RATNAGIRI,2139.38,90453.54513,207673.2601,2139.38,0.211304051,-2.152390249,24.36047513
1992,MAHARASHTRA,RATNAGIRI,2073.43,90453.54513,207673.2601,2073.43,0.213666776,6.99674899,24.95649343
1993,MAHARASHTRA,RATNAGIRI,2202.23,90453.54513,207673.2601,2202.23,0.2294286,6.891381166,25.50195939
1994,MAHARASHTRA,RATNAGIRI,2279.48,90453.54513,207673.2601,2279.48,0.213147212,15.54341421,24.92348906
1995,MAHARASHTRA,RATNAGIRI,2368.17,90453.54513,207673.2601,2368.17,0.216244654,10.53027589,25.21973295
1996,MAHARASHTRA,RATNAGIRI,2519.63,90453.54513,207673.2601,2519.63,0.201563582,13.16937352,24.46756344
1997,MAHARASHTRA,RATNAGIRI,2447.11,79203,183208,2.313144704,0.211156123,7.404190861,25.27942506
1998,MAHARASHTRA,RATNAGIRI,2759.6,78800,220200,2.794416244,0.219448078,1.076483499,24.52076541
1999,MAHARASHTRA,RATNAGIRI,2341.05,79900,192800,2.41301627,0.19779908,6.601680615,24.85057924
2000,MAHARASHTRA,RATNAGIRI,2298.87,78800,167100,2.120558376,0.215361268,8.923247642,24.54741906
2001,MAHARASHTRA,RATNAGIRI,2591.23,78700,210200,2.67090216,0.214360728,9.480179516,25.17507769
2002,MAHARASHTRA,RATNAGIRI,2038.05,78800,149100,1.89213198,0.213765692,3.599081884,25.1818806
2003,MAHARASHTRA,RATNAGIRI,3058.71,79400,239100,3.011335013,0.223724406,8.405074974,23.99210907
2004,MAHARASHTRA,RATNAGIRI,2571.16,79300,187200,2.360655738,0.216697202,1.296002751,25.39314852
2005,MAHARASHTRA,RATNAGIRI,2690.19,77200,195200,2.528497409,0.228133536,0.744754634,25.9187042
2006,MAHARASHTRA,RATNAGIRI,2808.67,78000,211200,2.707692308,0.203416922,0.382219048,24.55283327
2007,MAHARASHTRA,RATNAGIRI,2633.03,767,1965,2.561929596,0.214712063,6.084272548,24.66709882
2008,MAHARASHTRA,RATNAGIRI,2673.72,77400,201000,2.596899225,0.214197485,0.07196083,25.3502145
2009,MAHARASHTRA,RATNAGIRI,2614.18,77300,202700,2.62225097,0.202660272,3.837420656,24.76388334
2010,MAHARASHTRA,RATNAGIRI,2757.12,78000,223100,2.86025641,0.222915767,10.47572536,24.72851245
2011,MAHARASHTRA,RATNAGIRI,2813.12,77500,226400,2.921290323,0.23659955,0.815494215,25.67898397
2012,MAHARASHTRA,RATNAGIRI,2841.27,73900,215000,2.909336942,0.213182757,3.439582437,24.05335103
2013,MAHARASHTRA,RATNAGIRI,3032.91,72100,213200,2.957004161,0.218403028,6.319298989,24.33601804
2014,MAHARASHTRA,RATNAGIRI,3145.96,72500,220500,3.04137931,0.214198002,7.195577113,24.9394111
2015,MAHARASHTRA,RATNAGIRI,2678.73,90453.54513,207673.2601,2678.73,0.206216971,3.464689651,23.92072731
2016,MAHARASHTRA,RATNAGIRI,3195.78,90453.54513,207673.2601,3195.78,0.195145215,9.895442949,24.54399502
2017,MAHARASHTRA,RATNAGIRI,3093.02,90453.54513,207673.2601,3093.02,0.206295082,8.913404109,24.53941679
1966,MAHARASHTRA,NASIK,578.95,90453.54513,207673.2601,578.95,0.199433234,11.66042563,25.21138652
1967,MAHARASHTRA,NASIK,1055.56,90453.54513,207673.2601,1055.56,0.230393838,5.553132983,25.07692613
1968,MAHARASHTRA,NASIK,1000,90453.54513,207673.2601,1000,0.21220172,3.397048558,23.88888598
1969,MAHARASHTRA,NASIK,702.94,90453.54513,207673.2601,702.94,0.209893624,2.547982495,24.38393794
1970,MAHARASHTRA,NASIK,1040.23,90453.54513,207673.2601,1040.23,0.222244356,7.496280195,24.38547147
1971,MAHARASHTRA,NASIK,861.67,90453.54513,207673.2601,861.67,0.202135306,4.075363691,24.62221167
1972,MAHARASHTRA,NASIK,145.6,90453.54513,207673.2601,145.6,0.205684177,3.115293717,24.18172601
1973,MAHARASHTRA,NASIK,1082.84,90453.54513,207673.2601,1082.84,0.21403354,3.719706284,24.95632358
1974,MAHARASHTRA,NASIK,1073.96,90453.54513,207673.2601,1073.96,0.223640507,2.542690179,24.38340607
1975,MAHARASHTRA,NASIK,1662.01,90453.54513,207673.2601,1662.01,0.218369668,6.956248169,25.02481058
1976,MAHARASHTRA,NASIK,1621.55,90453.54513,207673.2601,1621.55,0.215836069,-1.101773308,24.72907249
1977,MAHARASHTRA,NASIK,1694.96,90453.54513,207673.2601,1694.96,0.214133995,7.476224067,24.24396204
1978,MAHARASHTRA,NASIK,1304.88,90453.54513,207673.2601,1304.88,0.217355176,9.343886407,25.42463826
1979,MAHARASHTRA,NASIK,1364.32,90453.54513,207673.2601,1364.32,0.215369346,3.056746914,25.43936293
1980,MAHARASHTRA,NASIK,1113.3,90453.54513,207673.2601,1113.3,0.203053095,15.5713273,24.87567227
